"Qty","Value","Device","Package","Parts","Description","",
"1","","10-XX","B3F-10XX","S1","OMRON SWITCH","",
"1","","C-EUC0603","C0603","C27","CAPACITOR, European symbol","",
"4","","LEDCHIPLED_0805","CHIPLED_0805","LED1, LED2, LED3, LED4","LED","",
"5","","R-US_R0402","R0402","R14, R15, R16, R17, R18","RESISTOR, American symbol","",
"1","+3.3V_SEL","+3.3V_SEL","+3.3V_SEL","U$2","","",
"1","+5V_SEL","+5V_SEL","+5V_SEL","U$3","","",
"3","0.01uF","C-EUC0402K","C0402K","C2, C4, C6","CAPACITOR, European symbol","",
"2","0.01uF","C-EUC0805","C0805","C21, C24","CAPACITOR, European symbol","",
"5","0.1uF","C-EUC0402K","C0402K","C1, C3, C5, C9, C10","CAPACITOR, European symbol","",
"3","0.1uF","C-EUC0603","C0603","C13, C26, C33","CAPACITOR, European symbol","",
"4","0.2","R-US_R1206","R1206","R3, R4, R5, R6","RESISTOR, American symbol","",
"1","1.0uF","C-EUC0402K","C0402K","C8","CAPACITOR, European symbol","",
"1","100","R-US_R0603","R0603","R13","RESISTOR, American symbol","",
"1","100k","R-US_R0603","R0603","R10","RESISTOR, American symbol","",
"1","10118194-0001LF","10118194-0001LF","AMPHENOL_10118194-0001LF","J7","Micro Usb, 2.0 Type b, Rcpt, Smt","",
"1","10K","R-US_R0603","R0603","R2","RESISTOR, American symbol","",
"5","10k","R-US_R0603","R0603","R19, R20, R21, R22, R24","RESISTOR, American symbol","",
"2","10pF","C-EUC0402K","C0402K","C14, C15","CAPACITOR, European symbol","",
"2","10uF","C-EUC0603","C0603","C19, C32","CAPACITOR, European symbol","",
"4","10uF","CPOL-USCT3216","CT3216","C20, C23, C28, C30","POLARIZED CAPACITOR, American symbol","",
"1","1M","R-US_R0402","R0402","R1","RESISTOR, American symbol","",
"1","2.2uF","C-EUC0402K","C0402K","C7","CAPACITOR, European symbol","",
"2","2.2uF","C-EUC0603","C0603","C22, C25","CAPACITOR, European symbol","",
"4","220","R-US_R0402","R0402","R12, R23, R25, R26","RESISTOR, American symbol","",
"1","22uF","C-EUC1206","C1206","C16","CAPACITOR, European symbol","",
"2","24pF","C-EUC0402K","C0402K","C11, C12","CAPACITOR, European symbol","",
"1","3221-10-0300-00","3221-10-0300-00","3221-10-0300-00","J1","","",
"1","380k","R-US_R0603","R0603","R11","RESISTOR, American symbol","",
"4","B6B-ZR(LF)(SN)","B6B-ZR(LF)(SN)","JST_B6B-ZR(LF)(SN)","J3, J4, J5, J6","ZR Series 1.5 mm Pitch 6 Position Through Hole Top Entry Shrouded Heade","",
"2","DRV8833PW","DRV8833PW","SOP65P640X120-16N","U2, U3","","",
"1","ECS-160-9-42-CKM-TR","ECS-160-9-42-CKM-TR","XTAL_ECS-160-9-42-CKM-TR","Y1","Crystal 4-SMD, No Lead","",
"10","ESD401DPYR","ESD401DPYR","DPY0002A","U6, U7, U8, U9, U10, U11, U13, U14, U15, U16","","",
"1","LMS8117ADT-ADJ/NOPB","LMS8117ADT-ADJ/NOPB","TD03B","U5","","",
"1","MEM2051-00-195-00-A","MEM2051-00-195-00-A","GCT_MEM2051-00-195-00-A","J9","Connector, Memory Card, Micro Sd, 8 Position, 1.1mm, Full Reel","",
"1","MF-MSMF050-2","MF-MSMF050-2","FUSM4632X85","F2","PTC Resettable Fuse 0.5A(hold) 1A(trip) 15V 100A 0.8W 0.15s 0.15Ohm SMD Solder Pad 1812 T/R","",
"1","PC-104-PLUS","PC-104-PLUS","PC-104-PLUS","J2","","",
"1","ROBOT_PORT","ROBOT_PORT","ROBOT_PORT","U$1","","",
"1","RT3215-32.768-12.5-TR","RT3215-32.768-12.5-TR","RT3215-32.768-12.5-TR","Y2","","",
"1","TM4C1233H6PMIR","TM4C1233H6PMIR","PM0064A_N","U1","","",
"22","TPPAD1-13","TPPAD1-13","P1-13","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22","Test pad","",
"1","TPS73633DBVR","TPS73633DBVR","SOT95P280X145-5N","U4","400-mA, high-accuracy, ultra-low-dropout voltage regulator with reverse current protection and enable 5-SOT-23 -40 to 125","",
